sw00-0004-fs1,A,B,phải rồi,opening
sw00-0004-fs2,A,B,uh,turnKeep:stalling
sw00-0004-fs3,A,B,thực ra tôi sống ở châu âu trong vài năm,inform
sw00-0004-fs4,A,B,tôi sống ở Đức,inform
sw00-0004-fs5,A,B,và ở Đức họ không có hệ thống bồi thẩm đoàn,inform
sw00-0004-fs6,A,B,về cơ bản họ chỉ có ba bồi thẩm đoàn,inform
sw00-0004-fs7,A,B,uh,stalling
sw00-0004-fs8,A,B,khi bạn đến đây,inform
sw00-0004-fs9,A,B,các luật sư công tố sẽ đưa ra bằng chứng của mình,inform
sw00-0004-fs10,A,B,bạn phủ nhận luật sư công tố các bằng chứng của họ,inform
sw00-0004-fs11,A,B,ba người họ sẽ đưa ra bằng chứng đi xuống chỉ ra nó và sau đó quay lại và nói cho dù bạn có phạm tội hay không,inform
sw00-0004-fs12,B,A,ou ou our,turnTake:stalling
sw00-0004-fs13,B,A,hệ thống luật lệ của chúng tôi hỗn loạn hơn cả vậy,inform
sw00-0004-fs14,A,B,voc_laugh,autoPositive
sw00-0004-fs15,B,A,tôi nghĩ rằng những gì họ cần làm là họ cần phải bằng cách nào đó để lấy tiền,inform
sw00-0004-fs16,B,A,voc_breath,stalling
sw00-0004-fs17,B,A,ý tôi là,stalling
sw00-0004-fs18,B,A,khi một người đàn ông đã ký một tuyên bố nói rằng anh ta có tội,inform
sw00-0004-fs19,B,A,a a a,stalling
sw00-0004-fs20,B,A,họ có một tập thể gọi là all day,inform
sw00-0004-fs21,B,A,a a,stalling
sw00-0004-fs22,B,A,họ đều là tội phạm,inform
sw00-0004-fs23,A,B,uh-huh,autoPositive
sw00-0004-fs24,B,A,tất cả bọn họ đều thú tội,inform
sw00-0004-fs25,B,A,họ đi đến một nơi thử nghiệm bởi bồi thẩm đoàn,inform
sw00-0004-fs26,B,A,họ thử những người đó trong vòng 22 năm kể từ khi tôi còn là một đứa trẻ,inform
sw00-0004-fs27,A,B,wow,autoPositive
sw00-0004-fs28,B,A,và,turnTake
sw00-0004-fs29,B,A,những gì họ làm được là họ đã mua những chiếc xe mercedes rồi lại xe mercedes,inform
sw00-0004-fs30,B,A,không có điều gì được thực hiện bằng công lý cho dù bất kì điều gì,inform
sw00-0004-fs31,A,B,voc_breath,turnTake
sw00-0004-fs32,A,B,voc_breath đó nó là vậy đó,stalling
sw00-0004-fs33,A,B,nó là một trong những thứ,autoPositive
sw00-0004-fs34,A,B,ý tôi là uh uh,stalling
sw00-0004-fs35,A,B,tôi phải nhìn vào nó,inform
sw00-0004-fs36,A,B,nếu mà,stalling
sw00-0004-fs37,A,B,chỉ là,selfCorrection
sw00-0004-fs38,A,B,uh,stalling
sw00-0004-fs39,A,B,nếu họ đã làm điều đó chỉ với các thẩm phán cảnh sát phải làm việc tốt hơn rất nhiều và đảm bảo rằng bằng chứng của họ là kín,inform
sw00-0004-fs40,A,B,vì các thẩm phán ngồi trong các loại công cụ ngày qua ngày họ biết tất cả các thủ tục,inform
sw00-0004-fs41,A,B,họ sẽ biết điều gì là tốt điều gì không,inform
sw00-0004-fs42,A,B,họ có khả năng để nói tôi xin lỗi,inform
sw00-0004-fs43,A,B,bạn không thể sử dụng chúng như là một bằng chứng,inform
sw00-0004-fs44,A,B,uh,stalling
sw00-0004-fs45,A,B,bạn biết đó,stalling
sw00-0004-fs46,A,B,bởi vì nó có thể là hợp pháp hoặc không,inform
sw00-0004-fs47,A,B,và,turnKeep
sw00-0004-fs48,A,B,bạn biết,stalling
