trains2-fs1,S,U,xin chào,opening:initialGreeting
trains2-fs2,S,U,tôi có thể giúp gì cho anh ạ,offer
trains2-fs3,U,S,vâng,acceptOffer
trains2-fs4,U,S,tôi có chút vẫn đề tôi cần chuyển 2 tàu nước cam đến avon và 3 thùng đựng chuối đến elmira,inform
trains2-fs5,U,S,số chuối phải đến elmira trước 9 giờ tối,inform
trains2-fs6,S,U,được ạ,autoPositive
trains2-fs7,U,S,um,turnTake:stalling
trains2-fs8,U,S,tôi chỉ muốn dùng động cơ loại hai,inform
trains2-fs9,S,U,dạ vâng,autoPositive
trains2-fs10,U,S,nên ... voc_noise,turnTake:stalling
trains2-fs11,U,S,và tôi chỉ có thể sử dụng động cơ loại hai,inform
trains2-fs12,U,S,và ...,turnKeep:stalling
trains2-fs13,U,S,hai tàu chở nước cam từ avon tôi dùng độgn cơ hai và đưa lên hai t(hùng)- từ elmira và mang chúng đến và chuyển lên hai thùng và mang chúng trả lại elmira để đổ nước cam,inform
trains2-fs14,U,S,avon,
trains2-fs15,U,S,voc_click,turnKeep
trains2-fs16,S,U,mm-hm,autoPositive
trains2-fs17,U,S,đi đến,
trains2-fs18,U,S,voc_click,turnKeep
trains2-fs19,S,U,được rồi ạ,autoPositive:turnTake
trains2-fs20,S,U,anh có muốn chất thùng hàng lên khi ở corning không,propositionalQuestion
trains2-fs21,U,S,tôi có,answer
trains2-fs22,S,U,vâng,autoPositive
trains2-fs23,U,S,và,turnTake
trains2-fs24,U,S,sau đó,
trains2-fs25,U,S,sau đó số nước cam ở elmira với động cơ 2 và đưa chúng từ elmira tới corning tới dansville tới avon,instruct
trains2-fs26,S,U,vâng,autoPositive
trains2-fs27,S,U,anh muốn mang số thùng hàng theo người hay muốn để chúng ở elmira,choiceQuestion:turnAssign
trains2-fs28,U,S,uh ...,turnAccept:stalling
trains2-fs29,U,S,tôi sẽ mang chúng theo người,answer
trains2-fs30,S,U,okay,autoPositive
trains2-fs31,S,U,vậy anh muốn đi từ elmira,checkQuestion
trains2-fs32,U,S,tới avon,
trains2-fs33,S,U,okay,autoPositive
trains2-fs34,S,U,bằng chuyến nào ạ,setQuestion
trains2-fs35,U,S,uh,turnTake:stalling
trains2-fs36,U,S,t(ới)-,stalling
trains2-fs37,U,S,tới corning,answer
trains2-fs38,U,S,để tôi xem đã,pausing
trains2-fs39,U,S,để tôi nghĩ chút,pausing
trains2-fs40,U,S,voc_mumble ... voc_click ...,stalling:completion
trains2-fs41,U,S,vâng tới corning tới dansville với avon,answer
trains2-fs42,S,U,okay,autoPositive:turnTake
trains2-fs43,S,U,vâng theo đường đó,autoPositive
trains2-fs44,S,U,trưa anh sẽ tới avon,inform
trains2-fs45,U,S,okay thế cũng được,autoPositive
trains2-fs46,U,S,tôi nghĩ tôi còn tận 9 tiếng,inform
trains2-fs47,S,U,okay,autoPositive
trains2-fs48,U,S,um,turnTake:stalling
trains2-fs49,U,S,nhưng tôi cần,
trains2-fs50,U,S,oh oh từ từ,pausing
trains2-fs51,U,S,tôi vẫn còn vài thứ muốn nói,inform
trains2-fs52,U,S,khi tôi tới- khi tôi đến,selfCorrection
trains2-fs53,U,S,khi tôi đến khi tôi đến,stalling
trains2-fs54,U,S,khi tôi đến dansville tôi muốn đưa lên thêm một thùng hàng nữa,inform
trains2-fs55,S,U,mm-hm,autoPositive
trains2-fs56,U,S,được- ... uh,turnTake:stalling
trains2-fs57,S,U,okay,autoPositive
trains2-fs58,U,S,và,turnKeep
trains2-fs59,U,S,tôi sẽ mang thùng đó cùng 2 thùng còn lại tới avon,inform
trains2-fs60,S,U,được thôi,autoPositive
trains2-fs61,U,S,sau đó,turnKeep
trains2-fs62,U,S,ở avon tôi muốn dỡ 3 thùng- trả lại động cơ trả lại tàu chở hai tàu chở nước cam,inform
trains2-fs63,U,S,một tàu chở hai tàu chở,selfCorrection
trains2-fs64,U,S,cam- nước cam,selfCorrection
trains2-fs65,U,S,đã mang 3 thùng đó,inform
trains2-fs66,S,U,mm-hm,autoPositive
trains2-fs67,U,S,hai tàu,inform:selfCorrection
trains2-fs68,U,S,chở ...,stalling
trains2-fs69,U,S,và,turnKeep
trains2-fs70,U,S,sẽ chất lên 3 thùng hàng đựng chuối,inform
trains2-fs71,S,U,okay,autoPositive
trains2-fs72,U,S,và,turnKeep
trains2-fs73,U,S,mang chúng trở lại elmira,inform
trains2-fs74,S,U,anh muốn đi theo chuyến nào,setQuestion
trains2-fs75,U,S,uh,turnTake:stalling
trains2-fs76,U,S,từ dansville qua corning qua elmira,answer
trains2-fs77,S,U,okay,autoPositive:stalling
trains2-fs78,S,U,để xem nào,turnKeep:pausing
trains2-fs79,S,U,bốn giờ tối,inform
trains2-fs80,S,U,bốn giờ tối,inform:stalling
trains2-fs81,S,U,được,turnKeep
trains2-fs82,S,U,anh sẽ đến đó vào lúc 7 giờ tối,inform
trains2-fs83,U,S,okay tốt quá,interactionStructuring
trains2-fs84,U,S,tôi đã xong,inform
